dosya,ticker,baslangic,bitis,ref_fiyat_ort,ref_fiyat_std,esik_ust_2sigma,esik_alt_2sigma,manip_min_fiyat,manip_max_fiyat,pump_orani,vol_ref_yillik,vol_manip_yillik,adr_ref_pct,adr_manip_pct,ref_gun_sayisi,manip_gun_sayisi,hata
1.docx,CEOEM,26.10.2025,24.01.2026,32.5041,7.3541,47.2122,17.7959,21.32,28.92,0.8897,0.7008,0.4052,3.2469,2.0262,250.0,63.0,
1.docx,TEHOL,26.10.2025,24.01.2026,16.8139,12.976,42.766,-9.1381,15.48,41.5,2.4682,0.9557,0.842,4.1345,3.8513,250.0,63.0,
2.docx,DOGUB,03.03.2021,01.06.2021,2.7328,0.9785,4.6899,0.7758,2.7772,4.7668,1.7443,0.7284,0.6439,3.2986,3.2044,251.0,61.0,
3.docx,TRALT,16.10.2025,14.01.2026,40.5548,3.6206,47.7959,33.3136,34.4,48.46,1.1949,0.6803,0.6803,3.4634,3.4634,42.0,42.0,
4.docx,SONME,01.04.2025,30.06.2025,86.5534,9.6889,105.9312,67.1757,90.4261,149.2179,1.724,0.5772,0.7612,2.708,3.8203,247.0,59.0,
5.docx,HEDEF,27.12.2024,27.03.2025,4.5906,1.0699,6.7305,2.4508,3.16,6.34,1.3811,0.4604,0.8546,2.1249,4.1963,249.0,64.0,
6.docx,TUREX,14.06.2024,12.09.2024,3.7121,1.1909,6.0938,1.3304,5.925,10.0,2.6939,0.5459,0.549,2.6257,2.5005,251.0,60.0,
a.docx,ADESE,25.05.2024,23.08.2024,0.4264,0.0812,0.5888,0.264,0.4,0.474,1.1115,0.5465,0.3483,2.4799,1.7177,251.0,61.0,
b.docx,IHGZT,28.07.2022,16.08.2022,0.8035,0.196,1.1955,0.4114,0.65,0.84,1.0455,0.4058,0.7591,1.6856,3.2714,252.0,14.0,
c.docx,IHGZT,25.10.2019,30.12.2019,0.5533,0.2839,1.1211,-0.0145,1.0437,2.2976,4.1527,0.7893,0.9192,3.0687,3.1083,261.0,46.0,
d.docx,ARSAN,13.12.2019,12.03.2020,0.0931,0.0223,0.1376,0.0485,0.117,0.2455,2.6382,0.3601,0.8619,1.4417,3.1664,260.0,64.0,
e.docx,ULAS,03.01.2026,03.04.2026,27.3466,3.7394,34.8253,19.8679,28.58,44.48,1.6265,0.5801,0.6053,2.7343,2.6109,251.0,64.0,
f.docx,NIBAS,23.07.2020,21.10.2020,1.3663,0.4887,2.3436,0.389,2.4017,6.85,5.0135,0.904,0.9876,3.4374,5.3345,253.0,63.0,
g.docx,EGEEN,22.09.2023,21.12.2023,4891.1638,1343.347,7577.8577,2204.4699,7499.6265,13708.4814,2.8027,0.6484,0.6731,3.0306,3.2813,250.0,65.0,
g.docx,JANTS,22.09.2023,21.12.2023,14.2045,2.5111,19.2267,9.1823,15.9632,21.0765,1.4838,0.5968,0.633,2.7067,3.1088,250.0,65.0,
g.docx,PRKAB,22.09.2023,21.12.2023,30.0331,4.6991,39.4312,20.6349,28.14,41.24,1.3732,0.6185,0.637,2.8463,3.0415,250.0,65.0,
g.docx,DOBUR,,,,,,,,,,,,,,,,veri_yok
h.docx,PENGD,25.03.2020,23.06.2020,0.8546,0.375,1.6045,0.1047,1.1232,2.0961,2.4527,0.611,0.7887,2.3991,3.8436,259.0,60.0,
i.docx,EUYO,05.08.2020,03.11.2020,1.1403,0.3251,1.7906,0.4901,1.4221,10.2646,9.0013,0.655,0.8497,2.8183,4.8178,251.0,64.0,
j.docx,PEGYO,,,,,,,,,,,,,,,,veri_yok
k.docx,TMPOL,06.01.2023,06.04.2023,20.1016,5.3761,30.8538,9.3493,20.86,36.18,1.7999,0.4833,0.7717,2.2302,3.4999,253.0,61.0,
l.docx,NUGYO,03.09.2021,14.09.2021,11.3339,3.5677,18.4693,4.1985,16.79,18.08,1.5952,0.6013,0.396,2.7807,1.5097,249.0,8.0,
l.docx,OYLUM,03.09.2021,14.09.2021,2.1452,0.2713,2.6878,1.6026,2.0971,2.7167,1.2664,0.5361,1.1064,2.3423,6.7643,249.0,8.0,
m.docx,MARKA,23.05.2017,23.02.2018,0.6979,0.3876,1.4731,-0.0772,1.39,1.62,2.3211,0.9522,0.1254,3.8292,0.0977,261.0,199.0,
n.docx,SAMAT,20.10.2020,17.12.2020,0.6922,0.3482,1.3885,-0.0041,1.6444,2.7157,3.9232,0.827,0.466,3.4952,2.2778,251.0,42.0,
o.docx,BMSCH,27.01.2022,27.04.2022,2.7233,0.374,3.4713,1.9752,2.221,2.9785,1.0937,0.5115,0.4464,2.2229,1.7482,158.0,65.0,
o.docx,KZBGY,27.01.2022,27.04.2022,1.7371,0.2875,2.312,1.1622,2.3412,4.152,2.3902,0.6887,0.4474,3.3218,2.0581,118.0,65.0,
p.docx,CANTE,30.09.2022,29.12.2022,1.8297,1.3964,4.6226,-0.9631,6.4489,9.1721,5.0128,0.5605,0.6353,2.4298,2.9266,252.0,65.0,
q.docx,PCILT,03.05.2023,01.08.2023,7.5963,2.9533,13.5028,1.6898,5.7462,16.6257,2.1886,0.7144,0.7758,3.3205,3.9093,248.0,61.0,
r.docx,ETYAT,08.11.2025,06.02.2026,13.8619,4.7799,23.4216,4.3022,20.2,29.16,2.1036,0.5435,0.7296,2.4497,3.574,251.0,64.0,
s.docx,PNSUT,18.07.2025,16.10.2025,9.8715,1.209,12.2896,7.4534,9.59,15.0,1.5195,0.3508,0.4993,1.5132,2.3883,250.0,65.0,
t.docx,KIMMR,05.07.2022,03.10.2022,3.2282,0.1488,3.5258,2.9306,3.59,13.51,4.185,0.3466,0.6173,1.4209,3.2162,199.0,61.0,
u.docx,TUREX,15.01.2021,15.04.2021,1.6323,0.2223,2.0768,1.1878,1.32,1.931,1.183,1.4179,1.4179,9.9806,9.9806,6.0,6.0,
u.docx,PIT,,,,,,,,,,,,,,,,veri_yok
v.docx,TDGYO,24.03.2020,31.03.2020,0.7228,0.2175,1.1578,0.2878,0.5696,0.9087,1.2572,0.6118,0.0313,2.4038,9.7932,259.0,6.0,
w.docx,PAMEL,27.09.2025,26.12.2025,94.3131,13.1391,120.5914,68.0349,79.6,103.1,1.0932,0.4594,0.4371,2.0537,2.0664,251.0,64.0,
w.docx,RAYSG,27.09.2025,26.12.2025,346.105,122.1794,590.4638,101.7462,218.4,272.25,0.7866,0.5887,0.3054,2.6023,1.4324,251.0,64.0,
w.docx,ETYAT,27.09.2025,26.12.2025,12.2831,2.3275,16.9382,7.628,21.6,29.16,2.374,0.5434,0.657,2.4392,3.2539,251.0,64.0,
w.docx,GLBMD,27.09.2025,26.12.2025,11.4179,1.5863,14.5904,8.2454,11.16,13.96,1.2226,0.537,0.4445,2.4326,1.9385,251.0,64.0,
x.docx,BASGZ,27.09.2024,26.12.2024,20.6281,4.9034,30.4349,10.8212,23.6164,30.3303,1.4703,0.4523,0.3364,2.1407,1.6986,250.0,64.0,
y.docx,EUKYO,18.08.2023,16.11.2023,5.0425,2.1872,9.4168,0.6681,9.15,17.83,3.536,0.7611,1.0288,3.6234,5.5062,250.0,64.0,
y.docx,AVTUR,18.08.2023,16.11.2023,3.5161,1.0747,5.6655,1.3668,6.39,11.26,3.2024,0.6481,0.9412,2.9281,4.8964,250.0,64.0,
z.docx,EKSUN,10.10.2024,08.01.2025,7.3774,0.7306,8.8386,5.9162,5.47,7.88,1.0681,0.4275,0.3677,1.9728,1.7221,250.0,63.0,
ç.docx,AVGYO,20.01.2024,19.04.2024,6.0158,2.4871,10.99,1.0416,7.39,10.12,1.6822,0.7614,0.5306,3.7689,2.5624,249.0,61.0,
ç.docx,BJKAS,20.01.2024,19.04.2024,28.1402,16.4008,60.9417,-4.6614,44.94,89.3,3.1734,0.5799,0.6512,2.6769,3.0428,249.0,61.0,
ö.docx,JANTS,14.11.2020,12.02.2021,1.3316,0.7982,2.928,-0.2648,2.9292,9.5797,7.1943,0.6945,0.7924,3.173,3.9907,251.0,64.0,
ü.docx,ITTFH,,,,,,,,,,,,,,,,veri_yok
ü.docx,DOBUR,,,,,,,,,,,,,,,,veri_yok
ğ.docx,ANHYT,27.10.2021,25.01.2022,6.6625,0.6074,7.8773,5.4476,6.816,11.1274,1.6702,0.3569,0.4167,1.5365,2.068,249.0,64.0,
ı.docx,JANTS,14.11.2020,12.02.2021,1.3316,0.7982,2.928,-0.2648,2.9292,9.5797,7.1943,0.6945,0.7924,3.173,3.9907,251.0,64.0,
ş.docx,DENGE,03.04.2020,02.07.2020,0.8492,0.1539,1.1571,0.5413,0.5044,1.0365,1.2206,0.7222,0.816,2.8407,3.9723,259.0,60.0,
