ticker,baslangic,bitis,source,referans,tedbir_tipi
AZTEK,2026-02-07,2026-05-07,kap_tedbir,1602901,KESIN_2YIL
AVOD,2026-02-07,2026-05-07,kap_tedbir,1602901,KESIN_2YIL
CEMZY,2026-01-10,2026-04-09,kap_tedbir,1591101,GEÇICI_6AY
IDGYO,2026-01-03,2026-04-02,kap_tedbir,1584087,GEÇICI_6AY
ULAS,2025-12-18,2026-03-17,kap_tedbir,1574228,GEÇICI_6AY
OZSUB,2025-11-08,2026-02-05,kap_tedbir,1554278,GEÇICI_6AY
ETYAT,2025-11-07,2026-02-04,kap_tedbir,1553231,GEÇICI_6AY
ETYAT,2025-10-26,2026-01-23,kap_tedbir,1546334,GEÇICI_6AY
TRALT,2025-10-16,2026-01-13,kap_tedbir,1542949,GEÇICI_6AY
PAMEL,2025-09-27,2025-12-25,kap_tedbir,1529960,KESIN_2YIL
RAYSG,2025-09-27,2025-12-25,kap_tedbir,1529960,KESIN_2YIL
ETYAT,2025-09-27,2025-12-25,kap_tedbir,1529960,KESIN_2YIL
GLBMD,2025-09-27,2025-12-25,kap_tedbir,1529960,KESIN_2YIL
NIBAS,2019-08-14,2019-11-11,kap_tedbir,,GEÇICI_6AY
GLYHO,2019-09-03,2019-12-01,kap_tedbir,2019/68,GEÇICI_6AY
HURGZ,2019-09-11,2019-12-09,kap_tedbir,2019/66,GEÇICI_6AY
FORMT,2019-09-11,2019-12-09,kap_tedbir,2019/66,GEÇICI_6AY
HLGYO,2019-01-12,2019-04-11,kap_tedbir,2019/67,GEÇICI_6AY
GEDZA,2019-03-19,2019-06-16,kap_tedbir,,GEÇICI_6AY
IHGZT,2019-03-19,2019-06-16,kap_tedbir,,GEÇICI_6AY
EGPRO,2019-08-15,2019-11-12,kap_tedbir,2019/63,GEÇICI_6AY
MEPET,2019-08-02,2019-10-30,kap_tedbir,2019/61,GEÇICI_6AY
YAPRK,2019-08-02,2019-10-30,kap_tedbir,2019/61,GEÇICI_6AY
ATPET,2015-09-18,2015-12-16,kap_tedbir,,KESIN_2YIL
METRO,2015-09-18,2015-12-16,kap_tedbir,,KESIN_2YIL
RODRG,2015-09-18,2015-12-16,kap_tedbir,,KESIN_2YIL
SANEL,2015-09-18,2015-12-16,kap_tedbir,,KESIN_2YIL
ADESE,2019-08-16,2019-11-13,kap_tedbir,,BILINMIYOR
DMSAS,2019-07-23,2019-10-20,kap_tedbir,,GEÇICI_6AY
PRZMA,2019-07-02,2019-09-29,kap_tedbir,2019/55,GEÇICI_6AY
PRKME,2019-07-02,2019-09-29,kap_tedbir,2019/55,GEÇICI_6AY
MEGAP,2018-07-06,2018-10-03,kap_tedbir,2019/54,GEÇICI_6AY
RODRG,2018-07-06,2018-10-03,kap_tedbir,2019/54,GEÇICI_6AY
VERUS,2018-07-06,2018-10-03,kap_tedbir,2019/54,GEÇICI_6AY
DOGUB,2018-07-06,2018-10-03,kap_tedbir,2019/54,GEÇICI_6AY
SANEL,2018-12-22,2019-03-21,kap_tedbir,,GEÇICI_6AY
BURVA,2019-07-06,2019-10-03,kap_tedbir,,GEÇICI_6AY
RALYH,2019-07-06,2019-10-03,kap_tedbir,,GEÇICI_6AY
PLASP,2019-07-06,2019-10-03,kap_tedbir,,GEÇICI_6AY
INFO,2019-06-20,2019-09-17,kap_tedbir,2019/50,GEÇICI_6AY
NIBAS,2019-05-22,2019-08-19,kap_tedbir,2019/47,GEÇICI_6AY
KAPLM,2019-06-07,2019-09-04,kap_tedbir,2019/44,BILINMIYOR
ATPET,2015-08-29,2015-11-26,kap_tedbir,2019/43,GEÇICI_6AY
HDFGS,2015-08-29,2015-11-26,kap_tedbir,2019/43,GEÇICI_6AY
TARAF,2015-08-29,2015-11-26,kap_tedbir,2019/43,GEÇICI_6AY
SONME,2019-05-11,2019-08-08,kap_tedbir,2019/42,BILINMIYOR
ADESE,2019-05-03,2019-07-31,kap_tedbir,2019/39,BILINMIYOR
SEYKM,2019-03-26,2019-06-23,kap_tedbir,2019/33,BILINMIYOR
IHGZT,2019-03-02,2019-05-30,kap_tedbir,2019/31,GEÇICI_6AY
IZTAR,2019-03-01,2019-05-29,kap_tedbir,2019/29,BILINMIYOR
VKING,2019-03-01,2019-05-29,kap_tedbir,2019/29,BILINMIYOR
ADESE,2019-02-23,2019-05-23,kap_tedbir,2019/27,GEÇICI_6AY
ITTFH,2019-02-23,2019-05-23,kap_tedbir,2019/27,GEÇICI_6AY
HLGYO,2019-01-26,2019-04-25,kap_tedbir,2019/23,GEÇICI_6AY
HATEK,2015-09-18,2015-12-16,kap_tedbir,2019/20,KESIN_2YIL
TATGD,2019-01-11,2019-04-10,kap_tedbir,2019/19,BILINMIYOR
TEKTU,2019-01-11,2019-04-10,kap_tedbir,2019/19,BILINMIYOR
FORMT,2018-11-27,2019-02-24,kap_tedbir,2019/13,BILINMIYOR
ALBRK,2018-11-08,2019-02-05,kap_tedbir,2019/9,BILINMIYOR
NIBAS,2018-08-21,2018-11-18,kap_tedbir,2019/5,BILINMIYOR
HATEK,2018-10-12,2019-01-09,kap_tedbir,2019/2,BILINMIYOR
AVOD,2020-08-28,2020-11-25,kap_tedbir,2020/72,GEÇICI_6AY
MRGYO,2020-08-28,2020-11-25,kap_tedbir,2020/72,GEÇICI_6AY
ADESE,2020-08-28,2020-11-25,kap_tedbir,2020/72,GEÇICI_6AY
MARKA,2020-07-30,2020-10-27,kap_tedbir,2020/69,GEÇICI_6AY
EUYO,2020-08-05,2020-11-02,kap_tedbir,2020/67,BILINMIYOR
METUR,2020-06-20,2020-09-17,kap_tedbir,2020/62,GEÇICI_6AY
BNTAS,2020-06-20,2020-09-17,kap_tedbir,2020/62,GEÇICI_6AY
NIBAS,2020-07-24,2020-10-21,kap_tedbir,2020/64,GEÇICI_6AY
SEKUR,2020-06-02,2020-08-30,kap_tedbir,2020/60,GEÇICI_6AY
INTEM,2020-06-02,2020-08-30,kap_tedbir,2020/60,GEÇICI_6AY
PEGYO,2020-06-17,2020-09-14,kap_tedbir,2020/57,GEÇICI_6AY
PEGYO,2020-05-12,2020-08-09,kap_tedbir,2020/56,BILINMIYOR
PEKGY,2020-05-12,2020-08-09,kap_tedbir,2020/49,GEÇICI_6AY
IZMDC,2020-05-23,2020-08-20,kap_tedbir,2020/53,GEÇICI_6AY
NIBAS,2020-05-01,2020-07-29,kap_tedbir,,GEÇICI_6AY
RODRG,2020-04-24,2020-07-22,kap_tedbir,,BILINMIYOR
KUTPO,2020-04-24,2020-07-22,kap_tedbir,,GEÇICI_6AY
RODRG,2020-04-03,2020-07-01,kap_tedbir,2020/41,BILINMIYOR
KLGYO,2020-04-14,2020-07-12,kap_tedbir,2020/43,BILINMIYOR
PENGD,2020-02-29,2020-05-28,kap_tedbir,2020/38,GEÇICI_6AY
RTALB,2019-12-12,2020-03-10,kap_tedbir,,GEÇICI_6AY
A1CAP,2019-12-12,2020-03-10,kap_tedbir,,GEÇICI_6AY
ACP,2019-12-12,2020-03-10,kap_tedbir,,GEÇICI_6AY
GLRYH,2019-12-19,2020-03-17,kap_tedbir,2020/35,GEÇICI_6AY
A1CAP,2019-12-19,2020-03-17,kap_tedbir,2020/35,GEÇICI_6AY
ACP,2019-12-19,2020-03-17,kap_tedbir,2020/35,GEÇICI_6AY
FORMT,2019-08-10,2019-11-07,kap_tedbir,,GEÇICI_6AY
TUKAS,2020-02-18,2020-05-17,kap_tedbir,,GEÇICI_6AY
ANELE,2020-02-21,2020-05-20,kap_tedbir,2020/32,GEÇICI_6AY
DEVA,2020-01-17,2020-04-15,kap_tedbir,2020/30,BILINMIYOR
HDFGS,2020-02-07,2020-05-06,kap_tedbir,2020/29,BILINMIYOR
IHEVA,2020-01-15,2020-04-13,kap_tedbir,,GEÇICI_6AY
ACP,2020-01-15,2020-04-13,kap_tedbir,,GEÇICI_6AY
A1CAP,2020-01-15,2020-04-13,kap_tedbir,,GEÇICI_6AY
ETYAT,2019-12-28,2020-03-26,kap_tedbir,2020/23,BILINMIYOR
TDGYO,2019-12-25,2020-03-23,kap_tedbir,,GEÇICI_6AY
ARSAN,2019-12-13,2020-03-11,kap_tedbir,2020/17,BILINMIYOR
TMPOL,2016-07-09,2016-10-06,kap_tedbir,2020/8,KESIN_2YIL
SAMAT,2020-07-22,2020-10-19,kap_tedbir,2021/64,GEÇICI_6AY
DOBUR,2021-07-20,2021-10-17,kap_tedbir,2021/60,GEÇICI_6AY
DMSAS,2021-07-21,2021-10-18,kap_tedbir,2021/56,BILINMIYOR
BASGZ,2021-07-28,2021-10-25,kap_tedbir,2021/55,GEÇICI_6AY
PRKAB,2021-06-02,2021-08-30,kap_tedbir,2021/50,GEÇICI_6AY
NUGYO,2021-06-05,2021-09-02,kap_tedbir,2021/45,GEÇICI_6AY
OYLUM,2021-06-05,2021-09-02,kap_tedbir,2021/45,GEÇICI_6AY
DAGI,2021-05-04,2021-08-01,kap_tedbir,2021/40,GEÇICI_6AY
SNGYO,2021-04-08,2021-07-06,kap_tedbir,2021/34,GEÇICI_6AY
ADEL,2021-04-06,2021-07-04,kap_tedbir,2021/33,GEÇICI_6AY
SAMAT,2020-08-07,2020-11-04,kap_tedbir,2021/32,BILINMIYOR
DOGUB,2021-03-04,2021-06-01,kap_tedbir,2021/27,GEÇICI_6AY
VAKFN,2021-01-22,2021-04-21,kap_tedbir,2021/23,GEÇICI_6AY
TUREX,2021-01-16,2021-04-15,kap_tedbir,2021/20,BILINMIYOR
PIT,2021-01-16,2021-04-15,kap_tedbir,2021/20,BILINMIYOR
INTEM,2020-12-24,2021-03-23,kap_tedbir,2021/18,GEÇICI_6AY
IZFAS,2020-12-23,2021-03-22,kap_tedbir,2021/16,GEÇICI_6AY
SONME,2019-03-22,2019-06-19,kap_tedbir,2021/15,GEÇICI_6AY
ALBRK,2020-11-24,2021-02-21,kap_tedbir,2021/10,GEÇICI_6AY
ALK,2020-11-24,2021-02-21,kap_tedbir,2021/10,GEÇICI_6AY
JANTS,2020-11-14,2021-02-11,kap_tedbir,2021/8,BILINMIYOR
MARKA,2017-02-22,2017-05-22,kap_tedbir,2021/4,BILINMIYOR
CANTE,2022-09-30,2022-12-28,kap_tedbir,1091331,BILINMIYOR
IZMDC,2022-09-23,2022-12-21,kap_tedbir,1089322,KESIN_2YIL
MOBTL,2022-09-09,2022-12-07,kap_tedbir,1086224,GEÇICI_6AY
KLMSN,2022-09-22,2022-12-20,kap_tedbir,1089087,GEÇICI_6AY
PAMEL,2022-09-22,2022-12-20,kap_tedbir,1089087,GEÇICI_6AY
KGYO,2022-08-06,2022-11-03,kap_tedbir,1077041,GEÇICI_6AY
KAPLM,2022-08-04,2022-11-01,kap_tedbir,1076409,GEÇICI_6AY
ETYAT,2022-07-28,2022-10-25,kap_tedbir,1074514,GEÇICI_6AY
KIMMR,2022-07-04,2022-10-01,kap_tedbir,1066468,GEÇICI_6AY
IMASM,2022-06-29,2022-09-26,kap_tedbir,1065541,GEÇICI_6AY
PKART,2022-06-29,2022-09-26,kap_tedbir,1065541,GEÇICI_6AY
FADE,2022-06-10,2022-09-07,kap_tedbir,1061790,GEÇICI_6AY
SAFKR,2022-06-10,2022-09-07,kap_tedbir,1061790,GEÇICI_6AY
VKING,2022-06-10,2022-09-07,kap_tedbir,1061790,GEÇICI_6AY
GRSEL,2022-06-04,2022-09-01,kap_tedbir,1059789,GEÇICI_6AY
ATSYH,2022-05-28,2022-08-25,kap_tedbir,1058696,GEÇICI_6AY
SILVR,2022-05-28,2022-08-25,kap_tedbir,1058696,GEÇICI_6AY
IZMDC,2022-05-11,2022-08-08,kap_tedbir,1053853,GEÇICI_6AY
CANTE,2022-04-02,2022-06-30,kap_tedbir,1040894,GEÇICI_6AY
KRSTL,2022-03-03,2022-05-31,kap_tedbir,1034103,GEÇICI_6AY
LIDFA,2022-02-26,2022-05-26,kap_tedbir,1033097,GEÇICI_6AY
BASGZ,2022-01-28,2022-04-27,kap_tedbir,1025232,BILINMIYOR
VKFYO,2023-03-03,2023-05-31,kap_tedbir,1155469,GEÇICI_6AY
TMPOL,2023-01-06,2023-04-05,kap_tedbir,1133136,GEÇICI_6AY
AVHOL,2023-01-05,2023-04-04,kap_tedbir,1132246,BILINMIYOR
KRSTL,2022-12-29,2023-03-28,kap_tedbir,1129586,GEÇICI_6AY
AVHOL,2022-12-17,2023-03-16,kap_tedbir,1126055,BILINMIYOR
EUYO,2022-12-15,2023-03-14,kap_tedbir,1125335,BILINMIYOR
IHGZT,2022-11-04,2023-02-01,kap_tedbir,1109295,KESIN_2YIL
KRGYO,2022-12-10,2023-03-09,kap_tedbir,1123082,GEÇICI_6AY
DERIM,2022-12-10,2023-03-09,kap_tedbir,1123082,GEÇICI_6AY
EGEEN,2023-09-22,2023-12-20,kap_tedbir,1227906,KESIN_2YIL
JANTS,2023-09-22,2023-12-20,kap_tedbir,1227906,KESIN_2YIL
PRKAB,2023-09-22,2023-12-20,kap_tedbir,1227906,KESIN_2YIL
DOBUR,2023-09-22,2023-12-20,kap_tedbir,1227906,KESIN_2YIL
HATEK,2023-09-12,2023-12-10,kap_tedbir,1224727,BILINMIYOR
ENSRI,2023-09-02,2023-11-30,kap_tedbir,1221716,GEÇICI_6AY
KTLEV,2023-09-02,2023-11-30,kap_tedbir,1221716,GEÇICI_6AY
TDGYO,2023-08-18,2023-11-15,kap_tedbir,1218542,GEÇICI_6AY
EUKYO,2023-08-10,2023-11-07,kap_tedbir,1216059,GEÇICI_6AY
AVTUR,2023-08-10,2023-11-07,kap_tedbir,1216059,GEÇICI_6AY
BJKAS,2023-08-05,2023-11-02,kap_tedbir,1214167,BILINMIYOR
CEOEM,2023-08-02,2023-10-30,kap_tedbir,1212723,BILINMIYOR
FMIZP,2023-07-27,2023-10-24,kap_tedbir,1210160,BILINMIYOR
PEKGY,2023-07-21,2023-10-18,kap_tedbir,1207848,GEÇICI_6AY
OZGYO,2023-07-12,2023-10-09,kap_tedbir,1203992,GEÇICI_6AY
AKFYE,2023-07-07,2023-10-04,kap_tedbir,1200548,BILINMIYOR
AGYO,2023-06-23,2023-09-20,kap_tedbir,1196738,GEÇICI_6AY
PEGYO,2023-06-21,2023-09-18,kap_tedbir,1196299,GEÇICI_6AY
ATSYH,2023-06-16,2023-09-13,kap_tedbir,1195182,KESIN_2YIL
KONYA,2023-05-30,2023-08-27,kap_tedbir,1190050,GEÇICI_6AY
PKART,2023-05-30,2023-08-27,kap_tedbir,1190050,GEÇICI_6AY
AVHOL,2023-05-20,2023-08-17,kap_tedbir,1187387,BILINMIYOR
ESCAR,2023-05-06,2023-08-03,kap_tedbir,1181119,GEÇICI_6AY
PCILT,2023-05-03,2023-07-31,kap_tedbir,1179414,GEÇICI_6AY
EUYO,2023-04-20,2023-07-18,kap_tedbir,1173616,BILINMIYOR
AKYHO,2024-02-07,2024-05-06,kap_tedbir,1282990,GEÇICI_6AY
SEYKM,2024-02-07,2024-05-06,kap_tedbir,1282990,GEÇICI_6AY
AVGYO,2024-01-20,2024-04-18,kap_tedbir,1275568,GEÇICI_6AY
BJKAS,2024-01-20,2024-04-18,kap_tedbir,1275568,GEÇICI_6AY
ISYAT,2023-11-17,2024-02-14,kap_tedbir,1249925,BILINMIYOR
YAYLA,2023-11-04,2024-02-01,kap_tedbir,1246547,GEÇICI_6AY
ENSRI,2023-10-26,2024-01-23,kap_tedbir,1242638,BILINMIYOR
HATEK,2023-10-19,2024-01-16,kap_tedbir,1241182,BILINMIYOR
PEGYO,2023-10-14,2024-01-11,kap_tedbir,1239389,BILINMIYOR
BASGZ,2024-09-27,2024-12-25,kap_tedbir,1369002,KESIN_2YIL
BEGYO,2024-08-20,2024-11-17,kap_tedbir,1358758,GEÇICI_6AY
AVHOL,2024-06-14,2024-09-11,kap_tedbir,1333707,GEÇICI_6AY
TUREX,2024-06-12,2024-09-09,kap_tedbir,1332685,GEÇICI_6AY
NTHOL,2024-06-08,2024-09-05,kap_tedbir,1331721,GEÇICI_6AY
PEHOL,2024-05-25,2024-08-22,kap_tedbir,1327467,GEÇICI_6AY
ADESE,2024-05-24,2024-08-21,kap_tedbir,1327088,KESIN_2YIL
CVKMD,2024-05-18,2024-08-15,kap_tedbir,1325828,GEÇICI_6AY
ENSRI,2024-04-30,2024-07-28,kap_tedbir,1316613,GEÇICI_6AY
SMRTG,2024-12-06,2025-03-05,kap_tedbir,1401168,GEÇICI_6AY
KRGYO,2024-11-29,2025-02-26,kap_tedbir,1396899,GEÇICI_6AY
TDGYO,2024-11-29,2025-02-26,kap_tedbir,1396899,GEÇICI_6AY
HATEK,2024-10-26,2025-01-23,kap_tedbir,1384330,GEÇICI_6AY
TATEN,2024-10-10,2025-01-07,kap_tedbir,1375475,GEÇICI_6AY
AVTUR,2025-08-26,2025-11-23,kap_tedbir,1519662,GEÇICI_6AY
FRIGO,2025-08-26,2025-11-23,kap_tedbir,1519662,GEÇICI_6AY
EGEEN,2025-08-15,2025-11-12,kap_tedbir,1516709,KESIN_2YIL
JANTS,2025-08-15,2025-11-12,kap_tedbir,1516709,KESIN_2YIL
ALKLC,2025-08-09,2025-11-06,kap_tedbir,1513612,GEÇICI_6AY
TRILC,2025-08-09,2025-11-06,kap_tedbir,1513612,GEÇICI_6AY
SKYLP,2025-08-09,2025-11-06,kap_tedbir,1513612,GEÇICI_6AY
PNSUT,2025-07-18,2025-10-15,kap_tedbir,1505161,GEÇICI_6AY
DAPGM,2025-06-25,2025-09-22,kap_tedbir,1492340,GEÇICI_6AY
PAMEL,2025-06-21,2025-09-18,kap_tedbir,1491062,GEÇICI_6AY
NTHOL,2025-06-08,2025-09-05,kap_tedbir,1487323,KESIN_2YIL
KRGYO,2025-05-23,2025-08-20,kap_tedbir,1481816,KESIN_2YIL
KONYA,2025-05-10,2025-08-07,kap_tedbir,1474308,KESIN_2YIL
IPEKE,2025-04-29,2025-07-27,kap_tedbir,1467463,GEÇICI_6AY
TMSN,2025-04-29,2025-07-27,kap_tedbir,1467463,GEÇICI_6AY
TUCLK,2025-04-29,2025-07-27,kap_tedbir,1467463,GEÇICI_6AY
DZGYO,2025-04-29,2025-07-27,kap_tedbir,1467463,GEÇICI_6AY
OZATD,2025-01-30,2025-04-29,kap_tedbir,1432494,GEÇICI_6AY
KRGYO,2025-01-30,2025-04-29,kap_tedbir,1432494,GEÇICI_6AY
VKFYO,2025-01-28,2025-04-27,kap_tedbir,1430562,GEÇICI_6AY
EUREN,2025-01-22,2025-04-21,kap_tedbir,1428874,BILINMIYOR
BAKAB,2025-01-17,2025-04-16,kap_tedbir,1427324,GEÇICI_6AY
ENSRI,2025-01-15,2025-04-14,kap_tedbir,1426388,GEÇICI_6AY
SEGMN,2025-01-09,2025-04-08,kap_tedbir,1422707,GEÇICI_6AY
HEDEF,2024-12-27,2025-03-26,kap_tedbir,1413798,BILINMIYOR
ALKLC,2024-12-20,2025-03-19,kap_tedbir,1409029,GEÇICI_6AY
NTHOL,2024-12-10,2025-03-09,kap_tedbir,1403794,BILINMIYOR
